0	0	0	0	1.5	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0.2	0	0	1	0	0.8	0	0	0	0	0	0	0	1	0.25	0	0	0	1.3
0	0	0	0.5	2	0	0	0	0	0	0	0	0	0	0	0	0	1.75	0.428571428571429	0	0	1.75	0	0.875	0	0	0	0	0	0	0	1	0	0.25	1	0	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0.25	0	0	0
0	0	0	0	0	0.125	0	0	0	0	0.25	0	0	0	0	0	0	0.5	0.25	0.5	0	0.5	0	0.2	0	0	0	0	0	0	0	0	0.25	0	2	0	0.142857142857143
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1.5	0	0	0	0.5	0	0	0	0	0	0	0.125	0	2	0	0
0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	1.66666666666667	0	0.333333333333333	1	0	0	0	0	0	0	0.0833333333333333	0.5	0	0	0	0
0.25	2	4	2	1	0.9	0	0.5	2	0	0.5	0	4.75	3.5	0.333333333333333	4	0	1	1.66666666666667	1	1.5	1.5	1	2	0	1.5	1	1.33333333333333	2.5	0	4	3	1.375	1	2	3	1.75
0	0	0	0.5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7	0	0	0.25	0	0	0	0	0.5	0	1.5	0	0	2.25
0	0	0	0	0	0.5	0.166666666666667	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0625	1.5	1.5	0	0.25
0.125	0.375	0.3	0.214285714285714	0.5	0.25	0.142857142857143	0	0.875	1	0	0.666666666666667	1	1.25	1	0.75	0.05	1.1	0.857142857142857	1	1	1.1	1	0.916666666666667	0	1	0.125	0.666666666666667	0	0	0	0.5	0.166666666666667	0	0.75	1.75	0.642857142857143
0	0.166666666666667	1.5	0.3	0.142857142857143	0	0	0	0	0	0	0	2	1.25	1.25	1.5	0	2	2.25	1.16666666666667	0.5	2.125	0.6	1.2	0	0	0	0	0	0	0	0.916666666666667	0.375	0	0.375	1	0.785714285714286
0	0.875	0.333333333333333	0.285714285714286	0.75	1.5	0.142857142857143	0	0.625	0	0.5	0.666666666666667	1.75	1.5	1	1.25	0	0.625	0.833333333333333	0.5	1.75	1.3	0.642857142857143	0.916666666666667	0	1	0.125	1.33333333333333	0.25	0	0.25	0.416666666666667	0.5	0	0.625	0	0.714285714285714
0	0	0	0	0	0.0833333333333333	0.166666666666667	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0.333333333333333	0	0	0	0	0	0.857142857142857	0	0	0	0	0	1.33333333333333	0
0	0	0	0	0.125	0	0	0	0	0	0	0	0	0	0	0	0	0	0.142857142857143	0	0	0	0.142857142857143	0.166666666666667	0	0	0	0	0	1.5	0.25	1	0	0	0	0	0.857142857142857
0	0	0	0	0	0	0.166666666666667	0	0	0	0	0	0	0	0	0	0.1	0.8	0.714285714285714	0	1.25	0.6	0	0.2	0	0	0	0	0	0	0	0.571428571428571	0	0	0	1	1
